filename,fl,fr,bl,br,trunk,az,el,dist,overlap,l1 angle error
sedan4door_-20_23_-8_35_20_230_60_420.png,-20,23,-8,35,20,230,60,420,0.4619684831881338,10.0
sedan4door_-40_45_-30_35_20_140_30_420.png,-40,45,-30,35,20,140,30,420,0.20859293131021647,12.0
suv_-20_15_-30_35_20_80_60_420.png,-20,15,-30,35,20,80,60,420,0.24477716499831764,10.0
suv_0_45_-8_10_20_80_60_420.png,0,45,-8,10,20,80,60,420,0.7586927354646278,0.0
sedan4door_-40_15_-30_10_20_20_60_420.png,-40,15,-30,10,20,20,60,420,0.22180922085426463,9.0
suv_0_45_-8_35_20_80_30_420.png,0,45,-8,35,20,80,30,420,0.6996360769014762,0.0
hatchback_0_45_-30_10_15_140_60_420.png,0,45,-30,10,15,140,60,420,0.8367049288736047,0.0
sedan2door_-40_45_-8_35_15_140_30_420.png,-40,45,-8,35,15,140,30,420,0.18996479312429565,19.0
suv_-20_23_-8_35_15_230_60_420.png,-20,23,-8,35,15,230,60,420,0.3624353748706599,16.0
hybrid_-20_45_-30_35_15_230_60_420.png,-20,45,-30,35,15,230,60,420,0.19319795856171698,10.0
hatchback_-20_45_-30_35_15_140_60_420.png,-20,45,-30,35,15,140,60,420,0.7925864300769795,9.0
hatchback_0_45_-8_35_15_230_30_420.png,0,45,-8,35,15,230,30,420,0.8470993717159845,3.0
hatchback_0_15_-8_10_15_20_30_420.png,0,15,-8,10,15,20,30,420,0.6907465130220981,0.0
hatchback_-20_15_-8_35_20_20_30_420.png,-20,15,-8,35,20,20,30,420,0.5429977435947205,10.0
sedan2door_0_15_-8_35_15_80_30_420.png,0,15,-8,35,15,80,30,420,0.6993773675733997,0.0
hatchback_0_15_-30_35_15_20_60_420.png,0,15,-30,35,15,20,60,420,0.769492336097242,0.0
sedan2door_-40_15_-30_10_20_230_60_420.png,-40,15,-30,10,20,230,60,420,0.37437119403672137,20.0
hybrid_-20_15_-30_10_20_80_30_420.png,-20,15,-30,10,20,80,30,420,0.2378203172909853,10.0
hatchback_-40_15_-30_35_15_20_60_420.png,-40,15,-30,35,15,20,60,420,0.22455928649318835,10.0
sedan2door_-20_23_-8_10_20_230_60_420.png,-20,23,-8,10,20,230,60,420,0.3161503143126632,15.0
hybrid_0_15_-30_35_20_230_30_420.png,0,15,-30,35,20,230,30,420,0.8549304569128788,4.0
suv_-40_45_-8_10_15_140_30_420.png,-40,45,-8,10,15,140,30,420,0.17982529286016263,14.0
suv_-20_15_-30_10_15_140_60_420.png,-20,15,-30,10,15,140,60,420,0.4277388805357686,3.0
hybrid_0_15_-8_35_15_230_60_420.png,0,15,-8,35,15,230,60,420,0.2822377438715995,1.0
hatchback_-20_15_-30_10_15_230_60_420.png,-20,15,-30,10,15,230,60,420,0.41700741575112577,12.0
suv_-40_45_-30_10_15_230_30_420.png,-40,45,-30,10,15,230,30,420,0.8504872153553794,40.0
sedan2door_-20_15_-30_35_20_20_60_420.png,-20,15,-30,35,20,20,60,420,0.5824759473378306,9.0
hybrid_-20_15_-30_10_15_20_60_420.png,-20,15,-30,10,15,20,60,420,0.4154951707592706,19.0
sedan4door_-40_15_-30_10_20_140_60_420.png,-40,15,-30,10,20,140,60,420,0.43286608037074814,19.0
sedan4door_-40_23_-30_10_20_140_60_420.png,-40,23,-30,10,20,140,60,420,0.40838289429622987,19.0
hatchback_0_23_-8_10_20_20_30_420.png,0,23,-8,10,20,20,30,420,0.606693094992368,0.0
hatchback_0_15_-8_10_20_80_60_420.png,0,15,-8,10,20,80,60,420,0.5069655898194876,0.0
hybrid_-40_15_-8_35_20_20_60_420.png,-40,15,-8,35,20,20,60,420,0.30348589342479404,10.0
sedan4door_-40_15_-30_10_15_140_30_420.png,-40,15,-30,10,15,140,30,420,0.26097600285832706,6.0
sedan2door_-40_23_-30_10_15_20_30_420.png,-40,23,-30,10,15,20,30,420,0.4550195514477766,10.0
hatchback_0_23_-8_35_15_20_60_420.png,0,23,-8,35,15,20,60,420,0.5687767010669282,0.0
suv_0_45_-8_35_20_20_30_420.png,0,45,-8,35,20,20,30,420,0.8340468163653421,0.0
suv_-20_15_-8_10_20_20_30_420.png,-20,15,-8,10,20,20,30,420,0.4904596892968991,9.0
sedan2door_-40_15_-30_10_20_140_60_420.png,-40,15,-30,10,20,140,60,420,0.5622663495925907,17.0
sedan4door_-20_23_-8_10_15_230_60_420.png,-20,23,-8,10,15,230,60,420,0.4539631562717489,10.0
hatchback_-20_45_-30_10_20_20_30_420.png,-20,45,-30,10,20,20,30,420,0.3870665821525621,10.0
sedan4door_0_15_-30_35_20_80_30_420.png,0,15,-30,35,20,80,30,420,0.7580660659587303,0.0
sedan4door_-40_23_-8_35_20_20_30_420.png,-40,23,-8,35,20,20,30,420,0.3984351256989942,13.0
hybrid_-40_45_-8_10_20_80_60_420.png,-40,45,-8,10,20,80,60,420,0.27139805513458604,20.0
suv_-40_23_-8_10_15_140_60_420.png,-40,23,-8,10,15,140,60,420,0.5503830318167567,18.0
suv_0_23_-30_35_20_20_60_420.png,0,23,-30,35,20,20,60,420,0.5688338258574236,1.0
hatchback_-40_15_-8_35_20_140_30_420.png,-40,15,-8,35,20,140,30,420,0.19692245314595205,20.0
sedan2door_0_15_-30_35_15_230_60_420.png,0,15,-30,35,15,230,60,420,0.2278600495437096,13.0
hybrid_-20_45_-8_35_20_230_60_420.png,-20,45,-8,35,20,230,60,420,0.2050471334483071,10.0
hatchback_0_23_-30_10_15_80_30_420.png,0,23,-30,10,15,80,30,420,0.6272166358755152,0.0
sedan2door_-20_15_-30_35_15_230_30_420.png,-20,15,-30,35,15,230,30,420,None,7.0
sedan2door_0_45_-30_35_15_230_30_420.png,0,45,-30,35,15,230,30,420,None,12.0
hybrid_0_15_-30_10_20_80_30_420.png,0,15,-30,10,20,80,30,420,0.7621980669767038,0.0
hybrid_-20_23_-8_10_20_20_30_420.png,-20,23,-8,10,20,20,30,420,0.4022521554210394,8.0
sedan2door_-20_45_-8_35_15_140_30_420.png,-20,45,-8,35,15,140,30,420,0.18455390970457694,10.0
suv_-40_15_-8_10_20_20_30_420.png,-40,15,-8,10,20,20,30,420,0.5750748435487526,10.0
sedan4door_-40_45_-30_35_20_230_60_420.png,-40,45,-30,35,20,230,60,420,0.563694407672375,20.0
sedan2door_0_45_-8_35_15_20_30_420.png,0,45,-8,35,15,20,30,420,0.7215459763877443,4.0
hatchback_-20_45_-30_35_20_20_60_420.png,-20,45,-30,35,20,20,60,420,0.27819258860297663,8.0
hatchback_-40_23_-8_35_15_20_30_420.png,-40,23,-8,35,15,20,30,420,0.39758327005494104,10.0
sedan2door_0_23_-30_35_20_80_30_420.png,0,23,-30,35,20,80,30,420,0.5960528466009325,0.0
sedan4door_-20_45_-30_10_15_80_30_420.png,-20,45,-30,10,15,80,30,420,0.7826414089093687,12.0
suv_-20_45_-30_35_20_80_30_420.png,-20,45,-30,35,20,80,30,420,0.22920263238510294,10.0
hatchback_-20_45_-8_10_15_80_30_420.png,-20,45,-8,10,15,80,30,420,0.5968772621211188,8.0
hatchback_0_45_-30_10_15_80_30_420.png,0,45,-30,10,15,80,30,420,0.6398177385207368,0.0
suv_-20_23_-30_10_15_140_30_420.png,-20,23,-30,10,15,140,30,420,0.5638335195571407,6.0
sedan4door_-40_15_-8_10_15_140_30_420.png,-40,15,-8,10,15,140,30,420,0.16745898323453662,10.0
sedan4door_-40_45_-30_35_20_20_30_420.png,-40,45,-30,35,20,20,30,420,0.4094260649664739,17.0
suv_0_15_-30_35_20_80_60_420.png,0,15,-30,35,20,80,60,420,0.574436347357587,3.0
sedan2door_-40_15_-8_35_15_140_60_420.png,-40,15,-8,35,15,140,60,420,0.5589152112044121,17.0
suv_-40_23_-30_10_15_80_60_420.png,-40,23,-30,10,15,80,60,420,0.3761484876348307,19.0
hatchback_-20_15_-8_10_20_80_30_420.png,-20,15,-8,10,20,80,30,420,0.7137783069964679,9.0
hybrid_-20_45_-8_10_15_230_30_420.png,-20,45,-8,10,15,230,30,420,0.5149728360973643,10.0
hybrid_-20_23_-8_35_15_140_30_420.png,-20,23,-8,35,15,140,30,420,0.515842237650037,10.0
sedan4door_-40_23_-8_35_15_20_30_420.png,-40,23,-8,35,15,20,30,420,0.38704200483377693,13.0
sedan2door_0_23_-30_10_15_20_60_420.png,0,23,-30,10,15,20,60,420,0.8375724243466967,0.0
sedan2door_0_15_-30_35_15_80_60_420.png,0,15,-30,35,15,80,60,420,0.5715061614677905,0.0
sedan2door_0_15_-30_35_15_230_30_420.png,0,15,-30,35,15,230,30,420,None,9.0
suv_0_23_-30_35_20_20_30_420.png,0,23,-30,35,20,20,30,420,0.7090208512116011,1.0
hatchback_-20_23_-8_35_20_20_30_420.png,-20,23,-8,35,20,20,30,420,0.4835892917798913,9.0
sedan2door_-40_23_-30_10_20_230_60_420.png,-40,23,-30,10,20,230,60,420,0.3942516802135943,20.0
sedan2door_0_45_-30_35_20_230_30_420.png,0,45,-30,35,20,230,30,420,None,8.0
sedan2door_-20_15_-30_10_15_230_30_420.png,-20,15,-30,10,15,230,30,420,None,9.0
sedan4door_-40_23_-8_10_15_20_60_420.png,-40,23,-8,10,15,20,60,420,0.3147576171039974,9.0
hybrid_-40_23_-8_35_15_80_60_420.png,-40,23,-8,35,15,80,60,420,0.32503726059528193,20.0
sedan2door_-20_23_-30_10_15_140_30_420.png,-20,23,-30,10,15,140,30,420,0.17896764608220037,10.0
sedan2door_-20_15_-8_10_15_80_30_420.png,-20,15,-8,10,15,80,30,420,0.1713302654729495,1.0
suv_-40_45_-30_35_20_230_30_420.png,-40,45,-30,35,20,230,30,420,0.7380641471485557,37.0
sedan4door_-20_23_-30_10_15_230_60_420.png,-20,23,-30,10,15,230,60,420,0.5276712545069063,11.0
hatchback_-40_23_-8_35_20_140_60_420.png,-40,23,-8,35,20,140,60,420,0.531642033009498,11.0
sedan4door_0_15_-30_35_20_20_30_420.png,0,15,-30,35,20,20,30,420,0.6719809343132569,6.0
sedan2door_0_15_-8_10_15_230_30_420.png,0,15,-8,10,15,230,30,420,None,10.0
hatchback_-20_23_-8_35_15_20_30_420.png,-20,23,-8,35,15,20,30,420,0.4686737553377329,9.0
hatchback_0_45_-8_35_15_20_30_420.png,0,45,-8,35,15,20,30,420,0.6604837809182682,0.0
hatchback_-20_23_-30_35_15_80_30_420.png,-20,23,-30,35,15,80,30,420,0.6112093636412642,10.0
sedan4door_-20_23_-8_10_20_140_60_420.png,-20,23,-8,10,20,140,60,420,0.6573173602104948,9.0
hatchback_-20_45_-30_35_15_20_30_420.png,-20,45,-30,35,15,20,30,420,0.4705327118109472,10.0
hybrid_-20_23_-8_35_20_20_60_420.png,-20,23,-8,35,20,20,60,420,0.46147505081836115,18.0
suv_-20_45_-30_10_15_80_60_420.png,-20,45,-30,10,15,80,60,420,0.36406085706174296,10.0
sedan2door_0_45_-8_10_15_20_30_420.png,0,45,-8,10,15,20,30,420,0.6931065540749353,4.0
sedan2door_-40_15_-30_35_15_80_30_420.png,-40,15,-30,35,15,80,30,420,0.2758949891042285,20.0
hatchback_-40_45_-8_35_15_140_60_420.png,-40,45,-8,35,15,140,60,420,0.450184726735161,11.0
sedan2door_-40_45_-8_35_20_140_30_420.png,-40,45,-8,35,20,140,30,420,0.18360070874151835,19.0
hatchback_-40_23_-8_10_20_80_30_420.png,-40,23,-8,10,20,80,30,420,0.16042393624479673,20.0
sedan4door_0_23_-8_35_20_140_60_420.png,0,23,-8,35,20,140,60,420,0.5687340763185168,0.0
suv_-40_15_-30_35_20_230_30_420.png,-40,15,-30,35,20,230,30,420,0.723474034868504,38.0
suv_-40_45_-8_35_15_80_60_420.png,-40,45,-8,35,15,80,60,420,0.40077319642613324,20.0
hybrid_-20_15_-30_35_15_140_60_420.png,-20,15,-30,35,15,140,60,420,0.4558708666637365,10.0
sedan4door_-20_23_-8_35_20_20_60_420.png,-20,23,-8,35,20,20,60,420,0.5706568491591688,6.0
sedan2door_-20_45_-30_35_20_80_60_420.png,-20,45,-30,35,20,80,60,420,0.32216368881067386,10.0
hybrid_0_15_-8_10_20_230_60_420.png,0,15,-8,10,20,230,60,420,0.24413294656436524,1.0
sedan4door_-20_23_-30_35_15_20_60_420.png,-20,23,-30,35,15,20,60,420,0.5328330019547987,4.0
